epoch,step,s-nll,a-nll,s-kl,a-kl,i-l,sa-l,aa-l
17,033000,2.3553,2.2623,0.0280,2.0540,0.0000,0.0000,0.0000
17,033200,2.5779,2.4811,0.0000,0.0000,0.0000,0.4339,1.6567
17,033400,2.4756,2.3790,0.0215,1.7384,0.0000,0.0000,0.0000
17,033600,2.4290,2.3397,0.0399,1.7322,0.0000,0.0000,0.0000
17,033800,2.4650,2.4189,0.0000,0.0000,0.0000,0.3564,1.0828
17,034000,2.1352,2.0224,0.0239,1.9741,0.0000,0.0000,0.0000
17,034200,2.3755,2.3381,0.0000,0.0000,0.0000,0.2244,1.0955
17,034400,2.2315,2.1630,0.0000,0.0000,0.0000,0.2767,1.4242
18,034600,2.5072,2.4594,0.1109,1.6988,0.0000,0.0000,0.0000
18,034800,2.4191,2.3777,0.0000,0.0000,0.0000,0.3334,1.1757
18,035000,2.2979,2.1671,0.0535,2.0165,-0.0000,0.0000,0.0000
18,035200,2.3652,2.2975,0.0210,1.4942,0.0000,0.0000,0.0000
18,035400,2.5267,2.4139,0.0309,1.9029,0.0000,0.0000,0.0000
18,035600,2.2810,2.2110,0.0000,0.0000,0.0000,0.3731,1.2226
18,035800,2.2613,2.1636,0.0200,1.9709,0.0000,0.0000,0.0000
18,036000,2.2946,2.2032,0.0000,0.0000,0.0000,0.0852,0.9972
18,036200,2.4322,2.3996,0.0000,0.0000,0.0000,0.5897,0.9316
18,036400,1.9277,1.9006,0.0000,0.0000,0.0000,0.3426,0.9557
19,036600,2.0278,1.9421,0.0544,2.0144,-0.0000,0.0000,0.0000
19,036800,1.9114,1.8563,0.0000,0.0000,0.0000,0.2303,1.0897
19,037000,2.4145,2.3149,0.0000,0.0000,0.0000,0.2191,1.0686
19,037200,2.3500,2.2243,0.0186,1.9200,-0.0000,0.0000,0.0000
19,037400,2.0275,1.8878,0.0460,2.1956,0.0000,0.0000,0.0000
19,037600,2.3997,2.3122,0.0000,0.0000,0.0000,0.3077,1.0211
19,037800,2.0133,1.9264,0.0000,0.0000,0.0000,0.3244,1.1387
19,038000,2.0752,1.9918,0.0000,0.0000,0.0000,0.4241,1.2178
19,038200,2.1633,2.0298,0.0401,1.5067,0.0000,0.0000,0.0000
19,038400,2.1227,2.0424,0.0323,2.2864,-0.0000,0.0000,0.0000
20,038600,2.1340,1.9717,0.0307,2.1750,0.0000,0.0000,0.0000
20,038800,2.1073,1.9394,0.0277,2.3598,0.0000,0.0000,0.0000
20,039000,2.1115,2.0076,0.0396,1.5438,-0.0000,0.0000,0.0000
20,039200,2.2522,2.2012,0.0378,1.5883,0.0000,0.0000,0.0000
20,039400,2.4654,2.3224,0.0238,1.6790,0.0000,0.0000,0.0000
20,039600,2.2409,2.1163,0.0205,1.8073,0.0000,0.0000,0.0000
20,039800,1.9305,1.8590,0.0000,0.0000,0.0000,0.3268,1.1371
20,040000,1.8788,1.8244,0.0000,0.0000,0.0000,0.1837,0.8549
20,040200,2.3174,2.2609,0.0000,0.0000,0.0000,0.7659,0.8753
